numero_lot ; id_client ; nom_produit ; quantite ; date_transaction ; montant
1;CL3641000;Produit65;40;2023-07-10;882.1500103340783
2;CL61321000;Produit90;86;2023-11-21;402.4023504540741
3;CL381000;Produit16;70;2024-05-23;894.5850110640087
4;CL53241000;Produit71;97;2024-01-18;255.82020328463582
5;CL6721000;Produit60;91;2023-08-16;361.2799231425669
6;CL31891000;Produit2;71;2023-08-08;361.0182750578218
7;CL58891000;Produit39;94;2023-09-01;494.1735784226381
8;CL65101000;Produit76;31;2024-03-31;692.5635505281452
9;CL26751000;Produit75;87;2024-03-17;16.463830061457912
10;CL49271000;Produit42;19;2024-04-16;195.98390671341693
11;CL46731000;Produit36;78;2024-01-02;892.0545325682424
12;CL54971000;Produit20;40;2023-06-14;603.9134488081928
13;CL76011000;Produit37;91;2023-11-26;837.2757814964118
14;CL62781000;Produit50;88;2023-11-27;646.2310978544009
15;CL13261000;Produit71;86;2023-06-16;797.197489914028
16;CL41231000;Produit50;74;2023-07-01;547.1144921590612
17;CL42131000;Produit78;75;2023-10-28;461.92185056906607
18;CL6021000;Produit17;62;2024-05-16;130.39725827983554
19;CL25191000;Produit37;69;2023-08-19;129.5343129725337
20;CL72761000;Produit33;29;2023-08-02;61.73440598797238
21;CL37591000;Produit93;67;2024-01-27;169.36406606242525
22;CL86351000;Produit3;97;2024-04-03;359.6940492634141
23;CL69861000;Produit7;15;2023-07-30;936.966267934684
24;CL55091000;Produit79;46;2023-10-26;242.2478572821751
25;CL4201000;Produit67;64;2024-03-15;531.0466265948637
26;CL10991000;Produit2;63;2023-08-22;928.3862942565356
27;CL86421000;Produit28;81;2024-01-25;555.3302662562455
28;CL35851000;Produit84;7;2023-12-25;616.2932869764146
29;CL36981000;Produit57;76;2024-03-20;488.2032572274761
30;CL40881000;Produit31;68;2023-08-16;238.15086454961576
31;CL83511000;Produit33;81;2023-09-11;490.56037551863966
32;CL82551000;Produit3;67;2023-10-23;152.0749276947953
33;CL2091000;Produit69;21;2024-01-20;823.5671398766324
34;CL01000;Produit12;11;2023-11-12;862.6929719114934
35;CL6101000;Produit64;31;2024-03-27;161.52867722627337
36;CL37741000;Produit66;71;2023-08-29;563.6454038431408
37;CL9471000;Produit12;95;2023-06-11;529.4584950272784
38;CL45241000;Produit20;63;2023-06-29;776.9167468780017
39;CL60301000;Produit38;14;2023-12-29;36.610383701253525
40;CL30011000;Produit73;42;2023-08-28;500.8811691804465
41;CL57181000;Produit7;52;2024-03-09;67.69225495753935
42;CL53591000;Produit48;6;2023-07-08;130.6800892827645
43;CL78731000;Produit11;92;2024-01-16;876.8908554359056
44;CL2341000;Produit38;10;2023-06-02;311.85058386313875
45;CL76941000;Produit76;82;2024-02-12;860.5273269470483
46;CL80921000;Produit86;62;2023-09-15;120.70795043771025
47;CL80101000;Produit74;54;2023-10-01;294.11792007945985
48;CL35991000;Produit45;21;2024-05-14;938.9772269478402
49;CL66841000;Produit81;97;2023-08-01;685.9705396226509
50;CL3961000;Produit4;91;2024-01-22;145.5963650033004
51;CL13691000;Produit59;22;2024-01-16;192.00081429076653
52;CL75601000;Produit64;19;2024-01-08;906.9128560500452
53;CL62031000;Produit35;2;2023-11-04;275.15307202956956
54;CL48221000;Produit60;47;2023-11-22;938.0085970876243
55;CL2021000;Produit59;78;2023-06-10;375.2677843263753
56;CL13981000;Produit94;15;2023-10-25;999.3622115500085
57;CL20051000;Produit10;54;2023-12-11;894.2136850145918
58;CL39571000;Produit40;51;2023-08-11;695.1482842516674
59;CL5871000;Produit74;91;2024-05-25;312.0171823496147
60;CL30461000;Produit38;81;2024-04-04;274.23957003189923
61;CL12271000;Produit2;61;2023-06-14;878.1523227036239
62;CL21261000;Produit59;96;2023-08-15;643.3882947690395
63;CL48021000;Produit36;51;2023-12-30;361.3326239139211
64;CL52221000;Produit88;99;2024-04-07;611.4883718403199
65;CL88671000;Produit99;40;2024-03-01;879.4597905227081
66;CL18161000;Produit32;100;2023-09-09;145.54228829412705
67;CL60811000;Produit8;76;2023-12-05;569.8809705759885
68;CL66991000;Produit61;72;2024-04-06;335.65906779833006
69;CL2401000;Produit42;13;2024-04-10;29.98309468163446
70;CL79231000;Produit72;35;2024-02-21;959.6851327649689
71;CL10661000;Produit71;55;2023-10-11;788.2718030195497
72;CL54501000;Produit86;20;2024-03-12;95.91637322733169
73;CL10461000;Produit54;46;2024-03-20;360.45306251897114
74;CL51551000;Produit39;7;2023-06-19;156.66172964409466
75;CL52521000;Produit28;82;2023-06-29;460.33105901912927
76;CL8921000;Produit48;36;2024-02-04;789.5357374931888
77;CL38121000;Produit67;86;2024-02-06;38.380271732750074
78;CL62501000;Produit72;68;2024-01-29;789.4675704189256
79;CL38531000;Produit89;75;2024-01-19;786.1261602898014
80;CL52961000;Produit35;72;2023-10-25;301.1501228876295
81;CL9691000;Produit50;45;2023-07-28;721.6165977190989
82;CL67621000;Produit57;53;2023-08-26;781.5426054928498
83;CL56301000;Produit53;15;2024-05-29;312.5785619874655
84;CL20221000;Produit6;23;2024-05-17;139.02182794420534
85;CL34241000;Produit55;31;2024-01-29;401.78489256059163
86;CL76331000;Produit83;18;2023-09-05;962.6898312731286
87;CL83781000;Produit75;81;2023-10-20;823.8100155220142
88;CL84861000;Produit76;7;2023-07-01;821.4401462924383
89;CL24121000;Produit69;53;2024-03-02;408.9948518746539
90;CL2191000;Produit88;21;2023-07-16;780.8118349668587
91;CL72801000;Produit44;69;2024-03-05;726.9918245519617
92;CL69981000;Produit0;42;2023-11-14;50.984727710406524
93;CL60371000;Produit50;93;2023-12-27;26.79386020721796
94;CL89811000;Produit8;21;2023-12-19;174.95435611934644
95;CL27971000;Produit60;90;2024-03-13;418.40208405653567
96;CL63701000;Produit24;27;2023-11-27;421.8447738783711
97;CL29621000;Produit8;30;2023-07-09;244.14208839477845
98;CL78761000;Produit54;7;2024-04-29;410.2525428061436
99;CL25311000;Produit80;73;2023-11-18;168.64371839177878
100;CL14821000;Produit56;44;2024-03-27;465.6492422364503
101;CL43821000;Produit84;53;2023-07-20;459.3564073063605
102;CL50751000;Produit73;72;2024-01-04;288.2958605376515
103;CL32541000;Produit56;8;2024-02-24;225.53693185553013
104;CL40331000;Produit78;10;2023-06-03;84.33794306408232
105;CL36441000;Produit79;19;2023-12-24;909.433769030993
106;CL27871000;Produit32;33;2024-05-07;227.1602551644832
107;CL9301000;Produit0;16;2024-02-07;258.07255463113603
108;CL15371000;Produit93;24;2023-07-11;844.4933294841422
109;CL64911000;Produit20;53;2024-04-15;426.944406556646
110;CL44891000;Produit92;52;2024-05-11;803.9005430402241
111;CL48951000;Produit45;84;2023-09-17;354.99834239381255
112;CL87921000;Produit14;13;2024-05-16;426.2529408278621
113;CL86591000;Produit34;7;2023-10-23;845.777085334744
114;CL44921000;Produit15;56;2023-12-13;598.6539021681156
115;CL3171000;Produit0;80;2023-09-03;827.1083775687946
116;CL69261000;Produit77;42;2024-02-03;421.43695302355974
117;CL79821000;Produit5;82;2023-06-25;946.4223507886963
118;CL83091000;Produit11;54;2024-02-16;183.67502627585316
119;CL62411000;Produit28;92;2023-09-11;863.1163242267725
120;CL84691000;Produit42;2;2024-05-27;339.85094368046424
121;CL76001000;Produit13;55;2024-05-26;81.1973643628116
122;CL35331000;Produit30;51;2023-06-25;902.6060123785925
123;CL62471000;Produit79;95;2024-02-02;715.1161118466222
